student_id,study_hours,attendance,previous_grade,assignment_score,result
1,8.0,90,70,85,Pass
2,2.0,45,35,40,Fail
3,5.0,65,50,60,Pass
4,1.0,30,25,35,Fail
5,7.0,80,68,75,Pass
6,3.0,55,42,50,Fail
7,6.5,78,62,72,Pass
8,4.0,60,48,58,Fail
9,9.0,95,82,90,Pass
10,2.5,50,38,45,Fail
11,5.5,70,56,65,Pass
12,1.5,35,30,32,Fail
13,7.5,85,74,78,Pass
14,4.5,68,52,55,Pass
15,3.5,58,45,48,Fail
16,8.5,88,79,84,Pass
17,2.0,42,33,39,Fail
18,6.0,76,61,69,Pass
19,5.0,62,49,63,Pass
20,1.0,28,22,30,Fail
21,9.5,97,88,92,Pass
22,3.0,52,40,44,Fail
23,6.0,72,58,66,Pass
24,4.0,59,47,52,Fail
25,7.0,82,69,74,Pass
26,2.5,48,36,42,Fail
27,5.5,67,54,61,Pass
28,1.5,40,28,37,Fail
29,8.0,91,77,86,Pass
30,3.5,57,46,51,Fail
31,6.5,79,64,71,Pass
32,4.5,63,50,56,Pass
33,2.0,44,31,41,Fail
34,7.5,84,72,81,Pass
35,5.0,66,53,59,Pass
36,3.0,54,43,47,Fail
37,8.5,89,80,87,Pass
38,2.5,49,39,46,Fail
39,6.0,74,57,68,Pass
40,4.0,61,49,54,Fail
